2024-07-23 07:14:47 status half-installed librav1e0:amd64 0.5.1-6
2024-07-23 07:14:48 status unpacked librav1e0:amd64 0.5.1-6
2024-07-23 07:14:48 install libsvtav1enc1:amd64 <none> 1.4.1+dfsg-1
2024-07-23 07:14:48 status half-installed libsvtav1enc1:amd64 1.4.1+dfsg-1
2024-07-23 07:14:48 status unpacked libsvtav1enc1:amd64 1.4.1+dfsg-1
2024-07-23 07:14:48 install libjpeg62-turbo:amd64 <none> 1:2.1.5-2
2024-07-23 07:14:48 status half-installed libjpeg62-turbo:amd64 1:2.1.5-2
2024-07-23 07:14:48 status unpacked libjpeg62-turbo:amd64 1:2.1.5-2
2024-07-23 07:14:48 install libyuv0:amd64 <none> 0.0~git20230123.b2528b0-1
2024-07-23 07:14:48 status half-installed libyuv0:amd64 0.0~git20230123.b2528b0-1
2024-07-23 07:14:48 status unpacked libyuv0:amd64 0.0~git20230123.b2528b0-1
